Parameter        Value            Optimized        Precision (+/-) 
r mean (nm)      2.633            Y                nan             
r width (nm)     0.130            Y                nan             
xi mean (deg)    59.455           Y                nan             
xi width (deg)   57.757           Y                nan             
phi mean (deg)   72.384           Y                nan             
phi width (deg)  37.207           Y                nan             
temperature (K)  10.000           N                nan             
