0.0000       1.0000       1.0000       
0.0080       0.9939       0.9945       
0.0160       0.9782       0.9783       
0.0240       0.9553       0.9525       
0.0320       0.9263       0.9187       
0.0400       0.8920       0.8789       
0.0480       0.8551       0.8354       
0.0560       0.8153       0.7904       
0.0640       0.7743       0.7462       
0.0720       0.7336       0.7044       
0.0800       0.6930       0.6664       
0.0880       0.6544       0.6331       
0.0960       0.6187       0.6050       
0.1040       0.5866       0.5821       
0.1120       0.5593       0.5640       
0.1200       0.5362       0.5502       
0.1280       0.5176       0.5402       
0.1360       0.5039       0.5331       
0.1440       0.4946       0.5286       
0.1520       0.4898       0.5260       
0.1600       0.4888       0.5250       
0.1680       0.4908       0.5253       
0.1760       0.4956       0.5267       
0.1840       0.5026       0.5292       
0.1920       0.5110       0.5326       
0.2000       0.5207       0.5368       
0.2080       0.5313       0.5416       
0.2160       0.5426       0.5471       
0.2240       0.5538       0.5529       
0.2320       0.5647       0.5590       
0.2400       0.5750       0.5651       
0.2480       0.5849       0.5711       
0.2560       0.5934       0.5769       
0.2640       0.6012       0.5823       
0.2720       0.6079       0.5873       
0.2800       0.6134       0.5917       
0.2880       0.6179       0.5955       
0.2960       0.6211       0.5987       
0.3040       0.6227       0.6013       
0.3120       0.6233       0.6033       
0.3200       0.6226       0.6047       
0.3280       0.6204       0.6056       
0.3360       0.6172       0.6061       
0.3440       0.6130       0.6062       
0.3520       0.6078       0.6060       
0.3600       0.6021       0.6056       
0.3680       0.5960       0.6049       
0.3760       0.5896       0.6040       
0.3840       0.5834       0.6029       
0.3920       0.5772       0.6015       
0.4000       0.5720       0.5998       
0.4080       0.5674       0.5979       
0.4160       0.5634       0.5956       
0.4240       0.5607       0.5932       
0.4320       0.5588       0.5905       
0.4400       0.5582       0.5878       
0.4480       0.5585       0.5852       
0.4560       0.5598       0.5829       
0.4640       0.5617       0.5810       
0.4720       0.5645       0.5795       
0.4800       0.5679       0.5785       
0.4880       0.5713       0.5781       
0.4960       0.5751       0.5781       
0.5040       0.5786       0.5783       
0.5120       0.5819       0.5787       
0.5200       0.5849       0.5791       
0.5280       0.5875       0.5793       
0.5360       0.5896       0.5792       
0.5440       0.5912       0.5786       
0.5520       0.5918       0.5777       
0.5600       0.5921       0.5765       
0.5680       0.5918       0.5751       
0.5760       0.5911       0.5736       
0.5840       0.5899       0.5721       
0.5920       0.5884       0.5707       
0.6000       0.5868       0.5696       
0.6080       0.5849       0.5688       
0.6160       0.5831       0.5682       
